Date,Close,Open,High,Low,Volume
6/10/21, R$ 6.15 , R$ 6.26 , R$ 6.33 , R$ 6.13 ,"3,304,000"
6/11/21, R$ 6.19 , R$ 6.12 , R$ 6.25 , R$ 6.12 ,"1,805,900"
6/14/21, R$ 6.19 , R$ 6.21 , R$ 6.26 , R$ 6.16 ,"1,437,100"
6/15/21, R$ 6.17 , R$ 6.20 , R$ 6.24 , R$ 6.15 ,"1,327,200"
6/16/21, R$ 6.14 , R$ 6.19 , R$ 6.20 , R$ 6.12 ,"1,609,800"
6/17/21, R$ 6.11 , R$ 6.15 , R$ 6.15 , R$ 6.07 ,"1,513,000"
6/18/21, R$ 6.08 , R$ 6.11 , R$ 6.12 , R$ 6.04 ,"1,367,600"
6/21/21, R$ 6.18 , R$ 6.14 , R$ 6.25 , R$ 6.05 ,"1,720,400"
6/22/21, R$ 6.12 , R$ 6.16 , R$ 6.21 , R$ 6.12 ,"1,024,600"
6/23/21, R$ 6.06 , R$ 6.16 , R$ 6.17 , R$ 6.05 ,"1,473,600"
6/24/21, R$ 6.06 , R$ 6.10 , R$ 6.17 , R$ 6.04 ,"1,677,300"
6/25/21, R$ 6.01 , R$ 6.07 , R$ 6.10 , R$ 6.00 ,"1,370,500"
6/28/21, R$ 5.90 , R$ 6.00 , R$ 6.02 , R$ 5.90 ,"1,594,000"
6/29/21, R$ 5.82 , R$ 5.95 , R$ 5.95 , R$ 5.73 ,"2,214,000"
6/30/21, R$ 5.72 , R$ 5.77 , R$ 5.85 , R$ 5.67 ,"2,126,000"
7/1/21, R$ 6.11 , R$ 5.73 , R$ 6.26 , R$ 5.68 ,"6,203,100"
7/2/21, R$ 6.97 , R$ 6.20 , R$ 6.97 , R$ 6.07 ,"10,262,100"
7/5/21, R$ 7.08 , R$ 6.88 , R$ 7.30 , R$ 6.56 ,"11,717,600"
7/6/21, R$ 7.17 , R$ 7.30 , R$ 7.46 , R$ 7.01 ,"9,607,900"
7/7/21, R$ 7.10 , R$ 7.22 , R$ 7.35 , R$ 6.82 ,"6,815,900"
7/8/21, R$ 7.00 , R$ 6.86 , R$ 7.09 , R$ 6.71 ,"3,536,500"
7/12/21, R$ 7.08 , R$ 7.15 , R$ 7.25 , R$ 6.93 ,"3,177,000"
7/13/21, R$ 6.93 , R$ 7.01 , R$ 7.08 , R$ 6.85 ,"3,280,400"
7/14/21, R$ 6.86 , R$ 6.97 , R$ 6.98 , R$ 6.75 ,"2,464,800"
7/15/21, R$ 6.74 , R$ 6.87 , R$ 6.90 , R$ 6.62 ,"1,884,900"
7/16/21, R$ 6.60 , R$ 6.77 , R$ 6.82 , R$ 6.57 ,"1,355,000"
7/19/21, R$ 6.49 , R$ 6.48 , R$ 6.57 , R$ 6.32 ,"2,597,600"
7/20/21, R$ 7.02 , R$ 6.63 , R$ 7.07 , R$ 6.53 ,"6,499,800"
7/21/21, R$ 7.12 , R$ 7.15 , R$ 7.25 , R$ 6.95 ,"6,372,800"
7/22/21, R$ 7.10 , R$ 7.12 , R$ 7.28 , R$ 6.99 ,"2,119,500"
7/23/21, R$ 7.00 , R$ 7.10 , R$ 7.11 , R$ 6.92 ,"1,686,200"
7/26/21, R$ 6.73 , R$ 7.02 , R$ 7.18 , R$ 6.71 ,"2,296,300"
